,Nama Penjual,Nama Produk,Harga,Lokasi penjual,Jumlah terjual,Rating
444,PT Gumilar Sentosa,Kerupuk bunga mawar putih viral seblak aa rafael 1 bal/ball 5 kg,Rp145.000,Jakarta Pusat,100+ terjual,4.3
445,Alba_Jaya,Krupuk Seblak Mini Pedas Gurih dan renyah,Rp11.500,Jakarta Barat,17 terjual,5.0
446,mBrebesmili,ciomy cuanki cheese,Rp25.000,Depok,250+ terjual,4.8
447,lahawelah,75pcs Tahu KERITING PREMIUM isi untuk Toping Baso Aci Seblak Indomie,Rp26.000,Kab. Garut,17 terjual,5.0
448,Cemilan Malang,Seblak Cocol Viral,Rp4.000,Malang,27 terjual,5.0
449,Culametan Food,cuanki lidah isi 50 topping baso aci dan seblak,Rp11.999,Kab. Garut,6 terjual,5.0
450,yulsinshop,kerupuk seblak pedas,Rp15.000,Jakarta Timur,9 terjual,4.8
451,Nayla Mart Tasik,Kerupuk Merah Seblak 250gr / Kerupuk Oren Mentah Serbaguna,Rp4.250,Tasikmalaya,100+ terjual,5.0
452,Uai Food,SIOMAY KERING MINI 1Kg BASO ACI SEBLAK BANDUNG ISIAN BASO ACI,Rp30.000,Surabaya,80+ terjual,4.9
453,KulinerIndo,Seblak Asgar Cilok Jeletot,Rp25.000,Yogyakarta,11 terjual,5.0
454,greencan,Kerupuk Seblak Mentah 200gr - Krupuk Oren Matahari Pagi MP - Kemplang,Rp6.000,Jakarta Barat,9 terjual,5.0
455,Cemilan Murah BDL,Keripik Seblak Bantet 100gr - 200gr,Rp6.400,Bandar Lampung,8 terjual,4.8
456,cecemart metlandpuri,Kangen Seblak Instant 88 Modah Dan Praktis ,Rp13.500,Tangerang,19 terjual,5.0
457,Muysproduct,seblak instan mie bakso om brewok,Rp16.000,Kab. Bogor,5 terjual,5.0
458,Pisang Goreng Madu Bu Nanik,Keripik Singkong Balado Christine Hakim,Rp36.000,Jakarta Barat,2rb+ terjual,4.9
459,Foodstocks,Baso Aci Bapper Tulang Rangu Original Asli Bandung 220gr,Rp25.800,Jakarta Selatan,1rb+ terjual,5.0
460,Oncom Jaya Bdg,Kerupuk Seblak,Rp16.500,Bandung,100+ terjual,4.9
461,Alba_Jaya,Seblak Pedas Stik Kriuk Renyah dan Gurih,Rp2.500,Jakarta Barat,9 terjual,5.0
462,Lakoca Official Shop,Lakoca Cuanki Instan Xtra Pedas - 3 Menit Siap Santap!,Rp16.618,Cimahi,500+ terjual,4.8
463,deniashop2,Kerupuk Seblak Kering,Rp8.000,Depok,3 terjual,5.0
464,Caviarwear,KERUPUK JABLAY KERIPIK JABLAY PEDAS KERUPUK SEBLAK KENCUR CEMILAN,Rp16.500,Kab. Tangerang,4 terjual,4.0
465,kylafood,Kylafood Basreng Pedas 1000g,Rp127.880,Bandung,100+ terjual,5.0
466,Gaming Store01,Samiraos - Soun Seblak Geprek,Rp52.000,Tangerang Selatan,60+ terjual,4.9
467,Zaki Idris Trendy,Update seblak instant sajodo snak,Rp39.020,Jakarta Pusat,2 terjual,5.0
468,Arc_Rudy,cemilan seblak ceker snack,Rp9.500,Kab. Lebak,2 terjual,5.0
469,Arrahman_Shop,Kerupuk Seblak Rafael 250 gram - krupuk seblak mentah isi lebih banyak,Rp11.900,Tangerang Selatan,1 terjual,5.0
470,seblak Dea klayatan,seblak seafood instan murah,Rp12.000,Malang,3 terjual,5.0
471,HPSFoodSby,Paket Hemat 10 BKS Seblak Instan Original HPSFOOD,Rp30.000,Surabaya,4 terjual,5.0
472,lahawelah,1KG Cuanki Bulat SOHU MINI untuk toping Boci Baso Aci Seblak,Rp53.900,Kab. Garut,5 terjual,5.0
473,BerkahJayaagensnack,Kerupuk seblak rafael - 1/4 kg,Rp15.000,Pontianak,3 terjual,5.0
474,Utama.Snack,Kerupuk Seblak Pedas 200gr - mawar,Rp13.500,Surabaya,750+ terjual,4.9
475,Gerai Snack Official Shop,Mie Seblak Geprek Sami Raos Khas Garut Seblak Instant Kekinian 160gr,Rp19.700,Kab. Tangerang,100+ terjual,4.8
476,Galery Sani28,"Cuanki Gurilem/Pangsit topping seblak,mie bakso Dll",Rp10.000,Kab. Garut,7 terjual,5.0
477,keanashop05,bumbu seblak instan 150gr/original/halal,Rp6.899,Tangerang,1 terjual,5.0
478,Nion.Nion_Official,"Kerupuk Seblak Pedas 100 Gram, Kerupuk Seblak Daun Jeruk Gurih Renyah - Original Brebes",Rp22.688,Tangerang Selatan,28 terjual,4.3
479,LAPAK MILEA,Seblak Instant Homemade Bumbu Kencur Termurah Jajanan Khas Sunda,Rp7.000,Surabaya,4 terjual,4.0
480,Ri_store.id,KRUPUK SEBLAK PEDAS DAUN JERUK,Rp8.000,Makassar,27 terjual,4.2
481,Bintang Snack & Camilan,Kerupuk seblak Mawar / Seblak Rafael / Seblak viral 500 gr - 250 gr,Rp18.500,Semarang,22 terjual,5.0
482,gaiagarut,"Cuanki Lidah 10pcs Toping Baso Aci, Seblak khas Garut",Rp4.399,Kab. Garut,40+ terjual,4.8
483,lahawelah,150pcs Tahu KERITING PREMIUM isi untuk Toping Baso Aci Seblak Indomie,Rp44.650,Kab. Garut,40+ terjual,5.0
484,hi-shop,Kerupuk Mentah Krupuk Kering Kerupuk Seblak Krupuk Kuning Premium,Rp12.250,Jakarta Timur,5 terjual,5.0
485,MaFa Jaya,Cuanki Lidah Bulat Asli Garut buat bahan baku Seblak dan baso Aci,Rp180.000,Kab. Bandung,40+ terjual,5.0
486,RIKI STORE 97,Kerupuk seblak 1kg pedas gurih Seblak,Rp35.000,Kab. Bogor,1 terjual,5.0
487,amarsha_shop,"Kerupuk seblak/jablay pedas snack kiloan cemilan original, exp panjang",Rp12.500,Jakarta Utara,100+ terjual,4.7
488,lahawelah,cuanki CIPET BESAR isi 10pcs toping Baso aci cuanki seblak by LAHA (bi,Rp6.370,Kab. Garut,6 terjual,5.0
489,kylafood,Kylafood Paket (3 Seblak Original 2 Batagor kuah) ,Rp105.705,Bandung,3rb+ terjual,4.9
490,kylafood,Paket Batagor-Mie Kocok k.y.l Kylafood,Rp51.060,Bandung,1rb+ terjual,4.9
491,Kaya Halal Market,"Seblak Instan, Praktis, Komplit Khas Sunda by Kang Idin",Rp22.100,Jakarta Selatan,30+ terjual,4.8
492,keripik_dapurbiru,"Paket Mix cuankimie, baso aci, seblak 10pcs",Rp80.000,Pekanbaru,4 terjual,5.0
493,preloved custom,seblak dan cuanki putri sunda,Rp9.778,Jakarta Utara,6 terjual,5.0
494,kylafood,Kylafood Mix Pentol Kuah dan Batagor Kuah,Rp52.440,Bandung,100+ terjual,4.8
495,lahawelah,250gr Cuanki Bulat SOHU MINI untuk toping Boci Baso Aci Seblak,Rp14.550,Kab. Garut,30+ terjual,4.9
496,Helook Hydro Shop,KERUPUK SEBLAK KERITING / MAWAR / SEBLAK KEMBANG / KERUPUK BANTAT MIE,Rp23.500,Bandung,1 terjual,
497,kylafood,Kylafood Batagor Kuah Play,Rp27.075,Bandung,1rb+ terjual,4.9
498,Pusat Grosir Cuanki,"Cuanki Siomay Kering Super 1 pcs - Toping Baso Aci, Cuanki, Seblak",Rp390,Kab. Bandung,500+ terjual,4.7
499,arap bengkel,KERUPUK SEBLAK KERITING / MAWAR / SEBLAK KEMBANG / KERUPUK BANTAT MIE,Rp57.500,Jakarta Barat,70+ terjual,4.8
500,Taufik Bumbu Giling,kerupuk oren bubur/ seblak/ gado- gado/ ketoprak 1bal,Rp100.000,Jakarta Selatan,1 terjual,5.0
501,NYEMILCEMIL,KRUPUK SEBLAK JENGKOL,Rp8.000,Kab. Tulungagung,3 terjual,4.7
502,Seblak.Dede 02,seblak kerupuk bawang pedas daun jeruk 100 gram gurih renyah,Rp5.000,Kab. Bandung,50+ terjual,4.9
503,wafalaila,KERUPUK SEBLAK MENTAH CAP DUA BANGO 200GR,Rp7.500,Kab. Tegal,7 terjual,5.0
504,delstoreid,Happy snack kerupuk seblak putih 150 gr,Rp18.900,Jakarta Barat,5 terjual,5.0
505,CuankiCulametan,cuanki tahu geprek isi 50 murah toping seblak baso aci,Rp19.000,Kab. Garut,70+ terjual,4.8
506,Kerupuk Rempah,Kerupuk Seblak Rempah Cikur,Rp15.000,Bandung,22 terjual,5.0
507,Makaroni Ceu Wewei,Makaroni Ceu Wewei 1kg,Rp65.000,Kab. Tangerang,70+ terjual,5.0
508,greencan,krupuk bawang seblak warna mentah 250gr,Rp8.000,Jakarta Barat,,
509,greencan,kerupuk seblak cocol mentah viral mawar 100gram,Rp8.000,Jakarta Barat,2 terjual,5.0
510,MochieShop14,Kerupuk Ikan/Bawang/Seblak - Sari Laut - varian Bawang Besar 2 kg,Rp35.000,Bekasi,2 terjual,5.0
511,greencan,kerupuk seblak kencur pedas gurih,Rp9.000,Jakarta Barat,60+ terjual,4.8
512,ranggatan,"Siomay Mini Kering Bahan Pelengkap Boci, Seblak Dan Cuanki / Siomay",Rp54.000,Jakarta Selatan,40+ terjual,4.8
513,Tranquiil Treasures,KRUPUK SEBLAK BANTET PEDAS 100gr BELI 10 FREE1,Rp8.000,Bogor,80+ terjual,5.0
514,TOKO MURAH 95,PROMO !!1 KG KERUPUK SEBLAK EXTRA PEDAS/CEMILAN PEDAS GURIH MURAH,Rp20.000,Kab. Demak,1 terjual,
515,greencan,KRUPUK / KERUPUK MENTAH / KERUPUK SEBLAK MENTAH 200gr MAWAR WARNA,Rp8.000,Jakarta Barat,,
516,jagocemilan,kerupuk seblak Cekelin,Rp5.800,Jakarta Utara,250+ terjual,5.0
517,laatazal-surabaya,siomay mini kering toping baso aci seblak murah surabaya,Rp52.000,Surabaya,50+ terjual,5.0
518,awaludin storee,KERUPUK SEBLAK (BAWANG)KRUPUK BANTET GURIH khas jawa barat termurah,Rp4.000,Bogor,,
519,Sajodo Snack & Food,SEBLAK INSTAN SAJODO SNACK,Rp22.500,Tasikmalaya,100+ terjual,4.8
520,Kylafood Jakarta,Kylafood Seblak Rempah Autentik,Rp14.000,Jakarta Selatan,250+ terjual,5.0
521,greencan,Kerupuk HIJAU Bawang 250gr SEBLAK,Rp9.000,Jakarta Barat,1 terjual,
522,Ourbelovedsummeeer,SEBLAK KERING SEBRING DAUN JERUK SEBLAK KERUPUK SNACK KERUPUK KERUPUK,Rp7.000,Jakarta Timur,30+ terjual,4.8
523,Sajodo Snack & Food,"[ Buy 5 Get 5 ] Special Bedug Package (Baso Aci, Seblak, Keju Aroma...",Rp150.000,Tasikmalaya,7 terjual,4.8
524,karmila kitchen,Makaroni bantet pedas -+50gr krupuk seblak krupuk udang kerupuk bantet,Rp7.000,Tangerang Selatan,,
525,karmila kitchen,KERUPUK SEBLAK (UYEL/MAWAR MINI) BANTET TERMURAH,Rp5.000,Tangerang Selatan,,
526,Sultan Meat Shop,Seblak Sultan instant,Rp14.000,Medan,250+ terjual,4.8
527,greencan,kerupuk seblak Pedas 75 gram gurih,Rp8.000,Jakarta Barat,4 terjual,5.0
528,ivan storeen,BP Krupuk Bawang Warna Warni Krupuk seblak Krupuk mentah 75gram,Rp7.000,Jakarta Barat,,
529,glosir_hdd,KERUPUK SEBLAK RAFAEL 100GR (BACA DESKRIPSI BOX),Rp7.000,Jakarta Barat,,
530,ivan storeen,Makaroni bantet pedas -+50gr krupuk seblak krupuk udang kerupuk bantet,Rp7.000,Jakarta Barat,,
531,RitaMargaretha48,HAY Kerupuk mawar putih / kerupuk seblak 250gr,Rp9.000,Jakarta Barat,,
532,ASKUM18,BP Krupuk Bawang Warna Warni Krupuk seblak Krupuk mentah 75gram,Rp7.000,Jakarta Pusat,,
533,Ris0,Promo Kerupuk/ Keripik Seblak Jablay Bantet Pedas Daun Jeruk,Rp5.000,Surabaya,,
534,CUANKI CULAMETAN,siomay mini kering 1kg toping seblak baso aci,Rp25.999,Kab. Garut,100+ terjual,4.9
535,The Little Snacks,Seblak Putih Pedas / Kerupuk Bawang Pedas Odjolali Oleh Oleh Bsndung,Rp9.900,Tangerang Selatan,1rb+ terjual,4.9
536,Sajodo Snack & Food,"PAKET BUNDLING 4 ( 1 SEBLAK INSTANT, 1 KEJU AROMA SAJODO)",Rp43.000,Tasikmalaya,7 terjual,5.0
537,LOLIPOP2,seblak kerupuk jengkol daun jeruk isi 500gr,Rp63.000,Yogyakarta,,
538,febi mulyana,kerupuk / kerupuk mentah / kerupuk seblak mentah / krupuk bwg 200gr,Rp8.000,Jakarta Selatan,,
539,CUANKI BAKSO ACI DPS,SEBLAK INSTAN BANDUNG | HALAL,Rp16.000,Denpasar,100+ terjual,4.9
540,yuli_store01,populer KERUPUK SEBLAK - MAKKA,Rp7.000,Kab. Bekasi,24 terjual,4.9
541,Homisnack Official,Kerupuk Seblak Putih/ Kerupuk Seblak Putih Pedas Daun Jeruk,Rp17.000,Jakarta Selatan,5 terjual,5.0
542,CuankiCulametan,Cuanki lidah murah kiloan isi 150 toping seblak baso aci,Rp33.999,Kab. Garut,100+ terjual,4.9
543,#DERAS,KERUPUK SEBLAK - KERUPUK BANTET-SEBLAK KERING,Rp7.000,Jakarta Pusat,,
544,greencan,Cemilan pedas kerupuk seblak kering daun jeruk 100 gram,Rp8.000,Jakarta Barat,2 terjual,
545,milikstore,Sebring-Seblak Kerupuk Bantet Pedas Gurih Cabai Asli 500Gr,Rp25.000,Bandung,40+ terjual,4.6
546,greencan,kerupuk seblak kencur pedas 100 gram,Rp8.000,Jakarta Barat,,
547,Agusponsel22,[SEBRING] Seblak Garing kerupuk keripik seblak pedas daun jeruk,Rp7.000,Jakarta Pusat,1 terjual,
548,RIKI STORE 97,Kerupuk jeblay kiloan 1 kg pedas Kerupuk seblak,Rp40.000,Kab. Bogor,4 terjual,5.0
549,WISNUARDIYANSAH,K4T Kerupuk Merah Seblak Murah 250gr BANDUNG,Rp7.000,Jakarta Barat,27 terjual,5.0
550,kylafood, Kylafood Seblak karuhun,Rp12.825,Bandung,4rb+ terjual,4.8
551,Foodstocks,Soun Seblak Geprek SAMI RAOS Khas Garut - Soun Seblak,Rp18.900,Jakarta Selatan,60+ terjual,4.9
552,Gerai Snack Official Shop,Seblak Instant Basranger Extra Pedas Daun Jeruk (200gr),Rp19.700,Kab. Tangerang,100+ terjual,4.9
553,febi mulyana,seblak kerupuk bawang pedas aroma daun jeruk 100 gram,Rp8.000,Jakarta Selatan,2 terjual,
554,yui officeee,Cuanki Lidah Besar 1 Ball 500 Pcs Bahan Baku Utama Baso Aci Seblak Dll,Rp312.950,Jakarta Barat,,
555,Rak Sebelah,Bundle - Basranger Seblak | Baso Aci Extra Pedas | Tulang Rangu,Rp56.300,Jakarta Pusat,100+ terjual,4.9
556,greencan,seblak kering seblak bantet pedas daun jeruk/ kerupuk putih isi 100gr,Rp8.000,Jakarta Barat,,
557,Yahya kalisa store,Makaroni bantet pedas -+50gr krupuk seblak krupuk udang kerupuk bantet,Rp7.000,Surabaya,,
558,Jajanan Hits (JS),Seblak Tulang Rangu Nyai Mercon,Rp21.000,Tangerang Selatan,40+ terjual,5.0
559,Tranquiil Treasures,KERUPUK SEBLAK (BAWANG) BANTET TERMURAH ASLI RENYAH GURIH,Rp4.000,Bogor,1 terjual,5.0
560,Haddad10,Good (PREMIUM) DORAME SEBLAK KERING 150GR KEMASAN BOX Kerupuk /,Rp9.000,Jakarta Barat,50+ terjual,5.0
561,aneluvyshop,seblak instan mama fuji cemilan instan seblak minang sunda ,Rp32.500,Jakarta Timur,2 terjual,5.0
562,arya_kencana,kerupuk bantet seblak bintang ektra daun jeruk kemasan 100gr,Rp5.200,Jakarta Barat,5 terjual,5.0
563,Qianamarket,Krupuk seblak kencur pedas asin 500gr,Rp29.000,Semarang,21 terjual,4.8
564,Harno-Mart,Kerupuk Seblak Pedas,Rp7.000,Kab. Sukoharjo,25 terjual,5.0
565,greencan,krupuk seblak bantet pedas kemasan pouch 75 gram,Rp5.000,Jakarta Barat,2 terjual,4.4
566,kylafood,Kylafood Seblak Kwetiaw,Rp22.325,Bandung,4rb+ terjual,4.9
567,CUANKI CULAMETAN,cuanki tahu gepeng isi 50 pcs toping seblak baso aci,Rp19.500,Kab. Garut,100+ terjual,4.9
568,kylafood,Seblak Tulang Rawan k.y.l Kylafood (Spesial Panen Telur),Rp24.225,Bandung,50+ terjual,5.0
569,Toko Adwin shop,Kerupuk Kering 100g Bahan Seblak Variasi Lengkap by GR (Bisa,Rp6.000,Jakarta Pusat,100+ terjual,4.9
570,abdulmarrt,Sekilo Basreng Stik Seblak Pedo Balado Pedas,Rp78.000,Bandung,5 terjual,5.0
571,mBrebesmili,ciomy cuanki cheese,Rp25.000,Depok,250+ terjual,4.8
572,Nur azizah Kedas beauty,Kerupuk seblak bantet daun jeruk,Rp6.000,Kab. Tangerang,1 terjual,
573,ngenyooh_snack,SEBLAK KERUPUK POTATO,Rp7.000,Kab. Garut,12 terjual,5.0
574,Culametan Food,cuanki lidah isi 50 topping baso aci dan seblak,Rp11.999,Kab. Garut,6 terjual,5.0
575,shifanadifashop,kerupuk seblak,Rp6.900,Kab. Sidoarjo,13 terjual,5.0
576,defa_store62,kerupuk seblak kering daun jeruk,Rp5.000,Kab. Tangerang,2 terjual,5.0
577,finderu,KERUPUK SEBLAK KENCUR PEDAS 500gr (CABE SETAN),Rp63.600,Bandung,100+ terjual,5.0
578,Kerupuk seblak Almira,Kerupuk seblak,Rp5.000,Tangerang Selatan,7 terjual,5.0
579,Ltpa,Kerupuk Kuning 250G Bahan Seblak By Gg (Bisa Cod/Grosir/Kargo),Rp9.000,Jakarta Barat,7 terjual,4.8
580,delstoreid,Happy snack kerupuk seblak koin pelangi 150 gr,Rp18.900,Jakarta Barat,2 terjual,
581,Tasya chocolate,kerupuk seblak kering kecil / kerupuk seblak pedas,Rp5.000,Tangerang Selatan,14 terjual,5.0
582,Muysproduct,seblak instan mie bakso om brewok,Rp16.000,Kab. Bogor,5 terjual,5.0
583,Foodstocks,Baso Aci Mak Igun / Bakso Aci Mak Igun - Original,Rp44.000,Jakarta Selatan,250+ terjual,4.9
584,oke snack,Emping Balado 130g,Rp13.500,Jakarta Selatan,100+ terjual,4.9
585,Rumah Aci 180,Seblak Cilok Special Instan Rumah Aci,Rp27.000,Cimahi,2 terjual,5.0
586,#DERAS,KERUPUK SEBLAK (BAWANG) BANTET TERMURAH ASLI RENYAH GURIH,Rp4.000,Jakarta Pusat,40+ terjual,4.9
587,Lakoca Official Shop,Lakoca Cuanki Instan Xtra Pedas - 3 Menit Siap Santap!,Rp16.618,Cimahi,500+ terjual,4.8
588,Camcilan,Kerupuk Seblak Kering Daun Jeruk,Rp6.000,Kab. Bandung,8 terjual,5.0
589,k3 oldshop,kerupuk bawang mentah / kerupuk seblak / kerupuk putih 250 gram ,Rp8.000,Bandung,3rb+ terjual,4.9
590,Pisang Goreng Madu Bu Nanik,Keripik Kentang Pedas Tridara Snack,Rp16.500,Jakarta Barat,500+ terjual,4.9
591,Menik_Mart,KERUPUK KRUPUK SEBLAK,Rp10.000,Surabaya,9 terjual,5.0
592,Temal-temil,kerupuk pedas seblak,Rp7.500,Kab. Sleman,100+ terjual,4.9
593,KALASUKA,Cancimen Seblak Ramen Mas Miun Instan Cemilan Cup Kekinian Khas Garut,Rp20.900,Tangerang Selatan,100+ terjual,4.8
594,AtaaJaberr9,👍 Termurah Kerupuk Mentah-Kerupuk Seblak-Kerupuk Puli,Rp8.000,Surabaya,70+ terjual,4.8
595,AKSESORIS HAKSAA,KERUPUK SEBLAK KERING 75GRAM | KERUPUK SEBLAK BANTET VIRAL RAFAEL,Rp8.000,Jakarta Timur,50+ terjual,4.9
596,Temal-temil,Kerupuk Seblak Rasa Balado Renyah Bumbu Melimpah,Rp7.800,Kab. Sleman,100+ terjual,4.9
597,febi mulyana,krupuk mentah / seblak / bawang / buryam / lotek / ketoprak 250gr,Rp7.454,Jakarta Selatan,30+ terjual,5.0
598,Lidigeli,Geli Food Seblak Ceker Tanpa Tulang Super Pedas 180gr,Rp25.000,Kab. Garut,100+ terjual,4.9
599,kualikika,Seblak Basah Instant Pedas / Extra Pedas - Extra Pedas,Rp20.000,Kab. Tangerang,40+ terjual,5.0
600,segilapan,Seblak NENE Instan - PEDAS GURIH MANTAP,Rp15.000,Jakarta Barat,22 terjual,5.0
601,greencan,"Kerupuk Gelung Mentah 200gr Bahan Seblak, Krupuk, Cemilan, Dll.",Rp8.000,Jakarta Barat,2 terjual,5.0
602,cemilan_collection,kerupuk seblak taro mentah 250 gram,Rp8.000,Kab. Garut,3 terjual,4.9
603,TOKOJIHAN17,krupuk seblak - original,Rp13.500,Kab. Tasikmalaya,500+ terjual,4.9
604,widjati,KERUPUK SEBLAK (UDANG) KRUPUK bantet 60gr TERLARIS,Rp4.000,Kediri,60+ terjual,4.9
605,Temal-temil,kerupuk seblak pedas unyil,Rp7.500,Kab. Sleman,4 terjual,5.0
606,vegan-vegetarian,Premium Vegan Seblak Sauce / bumbu Seblak Praktis Sehat 250 gr,Rp75.000,Jakarta Selatan,29 terjual,5.0
607,MILAN FOOD,Keripik Cireng Seblak Pedas 200gr Makanan Ringan,Rp10.800,Kab. Bandung,30+ terjual,5.0
608,gaiagarut,Tahu KERITING STANDAR 25pcs untuk Toping Baso Aci Seblak Indomie,Rp9.099,Kab. Garut,100+ terjual,5.0
609,Mega Snack 095,SEBRINGG seblak kering daun jeruk 1000gr AMEGA SNACK,Rp45.000,Cimahi,19 terjual,4.7
610,Egafood Official Shop,Batagor / Siomay / Tahu Kering / Tiktuk Kuah Seblak Pedas Gurih Jeruk,Rp40.000,Bandung,100+ terjual,4.8
611,mamamia36,kerupuk seblak mentah kerupuk palembang kemasan 250 gram,Rp5.000,Bandung,4 terjual,5.0
612,SM Official Shop,Kerupuk Seblak,Rp7.000,Kab. Bogor,4 terjual,5.0
613,gaiagarut,Tahu Keriting STANDAR isi 50 untuk Toping Baso Aci Seblak Indomie,Rp17.999,Kab. Garut,90+ terjual,4.9
614,Snack Zone Official,keripik seblak pedas putih,Rp18.000,Jakarta Selatan,80+ terjual,5.0
615,kylafood, Kylafood Paket 4 Seblak Original 1 Batagor,Rp99.615,Bandung,1rb+ terjual,4.9
616,Pasar Keripik Bandung,Pasar Keripik Cimol Seblak Pedas size Kecil 130g,Rp12.500,Bandung,500+ terjual,4.9
617,Toko Yazid Cita Rasa,seblak rafael 500 grm ,Rp37.000,Bandung,4 terjual,5.0
618,Pasar Online Kebayoran,Seblak Instan Carla | 100 Gram,Rp17.000,Jakarta Selatan,1 terjual,5.0
619,kylafood,Kylafood Baso Aci Bumbu Rujak Play,Rp17.575,Bandung,250+ terjual,4.8
620,viosy shop,Seblak ekonomis,Rp7.900,Jakarta Utara,8 terjual,5.0
621,shine_ss,kerupuk seblak rafael,Rp8.000,Kab. Jember,2 terjual,5.0
622,Muysproduct,seblak instan mie original om brewok,Rp14.000,Kab. Bogor,5 terjual,5.0
623,Snack Kerupuk Official,Snack Kerupuk Model Seblak Cap Ikan Keripik Pedas Balado,Rp9.000,Medan,2 terjual,4.9
624,Lakoca Official Shop,Paket Isi 6 Cuanki Instan Lakoca | Latagor | Seblak | Makaroni,Rp93.840,Cimahi,40+ terjual,4.8
625,gaiagarut,Kerupuk Keong Besar isi 1KG Bahan Seblak by GG (Bisa COD/Kargo),Rp23.999,Kab. Garut,11 terjual,5.0
626,ngemil_yu,Ngemil kerupuk seblak kering endull,Rp5.000,Kab. Bogor,7 terjual,5.0
627,morototokoonline,250g seblak kencur,Rp9.000,Kab. Sukoharjo,25 terjual,4.9
628,IntanMutia3,🎗 Sebring (Seblak Kering) Jawara Kokinya Pedas *200 gr 🔅,Rp19.000,Bandung,1 terjual,5.0
629,Nyemil Saji Jepara,Nyemil Saji - Seblak Instan Siap Saji,Rp16.365,Kab. Sleman,23 terjual,4.8
630,kylafood,Kylafood Batagor Kuah,Rp27.075,Bandung,10rb+ terjual,4.9
631,CUANKI CULAMETAN,Baso Aci Instan Culametan khas Garut ( isi 6 ),Rp4.500,Kab. Garut,3rb+ terjual,4.8
632,CuankiCulametan,Cuanki Pangsit kering Segitiga Cipet isi 100 toping seblak baso aci,Rp32.500,Kab. Garut,70+ terjual,4.7
633,gaiagarut,SUKRO CIKUR RENYAH NGEPROS isi 50g Pelengkap Baso Aci Cuanki Seblak,Rp2.499,Kab. Garut,5 terjual,5.0
634,gaiagarut,Kerupuk Mawar isi 1KG Bahan Seblak by GG (Bisa COD/Grosir/Kargo),Rp23.999,Kab. Garut,13 terjual,5.0
635,Bite and Munch,Gurilem Pedas,Rp19.500,Bandung,100+ terjual,4.8
636,sparklelle,Cemilan basreng seblak kering makaroni jagung stik keju balado cheetos,Rp12.000,Bekasi,1 terjual,5.0
637,indrakasina,Crunchy KERUPUK SEBLAK PEDAS KENCUR / SEMBRING SEBLAK KERITING BANTET,Rp61.000,Tangerang Selatan,14 terjual,5.0
638,Snackzone Kelapa Gading,keripik seblak pedas jeruk,Rp18.000,Jakarta Utara,8 terjual,5.0
639,seblakumiofficial,batagor pedas seblak umi 150 gram,Rp16.500,Bandung,4 terjual,4.8
640,Many Online Shop,Kinasih Snack Kerupuk Krupuk Seblak Kering Gurih Garing Renyah 50gr,Rp5.500,Kab. Sleman,3 terjual,5.0
641,Al Dien Store 313,Seblak Mercon Khas Tasik 150gr Pedas Jelotot,Rp10.500,Tangerang,50+ terjual,4.8
642,MAKAN KITA,"Terbaru Pilus Cikur Super 1 Kg Untuk Toping Boci, Mie Instan, Seblak",Rp70.000,Jakarta Selatan,4 terjual,5.0
643,RIKI STORE 97,Kerupuk seblak pedas extra 500 gram,Rp30.000,Kab. Bogor,1 terjual,4.0
644,Mega_Snack_095,seblak bantat krupuk jengkol.pedas daun jeruk 1kg,Rp35.000,Cimahi,3 terjual,5.0
645,Sajodo Snack & Food,SEBLAK INSTAN SAJODO SNACK,Rp22.500,Tasikmalaya,100+ terjual,4.8
646,Kylafood Jakarta,Kylafood Seblak Rempah Autentik,Rp14.000,Jakarta Selatan,250+ terjual,5.0
647,SuperSnacksShop,KRUPUK / KERUPUK MENTAH / KERUPUK SEBLAK RAMBAK DADU 5KG,Rp108.000,Kab. Bandung,4 terjual,4.0
648,Bandung_snack,Kerupuk Mawar seblak 100gram Pedas Daun Jeruk Cemilan Bandung Snack,Rp5.500,Kab. Bandung,27 terjual,4.7
649,Sajodo Snack & Food,"[ Buy 5 Get 5 ] Special Bedug Package (Baso Aci, Seblak, Keju Aroma...",Rp150.000,Tasikmalaya,7 terjual,4.8
650,Tiga putri77,kerupuk kemplang mentah seblak bawang kerupuk khas Bandung kerupuk,Rp8.500,Kab. Bandung,5 terjual,5.0
651,SuperSnacksShop,KRUPUK / KERUPUK MENTAH / KERUPUK SEBLAK KEONG WARNA 5KG,Rp108.000,Kab. Bandung,6 terjual,5.0
652,Kylafood Jakarta,Seblak Rempah Autentik isi 5 pcs,Rp68.000,Jakarta Selatan,90+ terjual,4.9
653,ACHI FROZEN FOOD,seblak semaput,Rp15.000,Jakarta Timur,30+ terjual,5.0
654,tsuyoiid,Kripik Seblak Cikur Kencur kering kemasan 200gram 1pck isi 20,Rp8.000,Surabaya,50+ terjual,4.8
655,Francisco Ramirez Trendy,Terkini Bumbu Baso Aci 100 Gram Racikan Untuk Baso Aci Cuanki Seblak,Rp66.560,Jakarta Pusat,2 terjual,4.0
656,toko fisalila,PTR KERUPUK / KRUPUK SEBLAK RASA PEDAS / TERLARIS / KILOAN 500 GR,Rp94.000,Jakarta Pusat,500+ terjual,4.8
657,Queenna Snack,Basreng seblak daun jeruk pedas 500gr,Rp40.000,Kab. Majalengka,12 terjual,5.0
658,Dekinz_official,KRUPUK SEBLAK PEDAS KENCUR KILOAN 500 GRAM,Rp25.000,Bandung,3 terjual,5.0
