,Nama Penjual,Nama Produk,Harga,Lokasi penjual,Jumlah terjual,Rating
123,aghniya,"pilus cikur/kencur renceng isi 20 bks. baso aci, seblak, cemilan dll",Rp9.999,Tangerang Selatan,250+ terjual,5.0
124,nyemilsaji,CEMILAN BOX MAKARONI SPIRAL GELUNG KERUPUK SEBLAK STICK PANGSIT,Rp35.789,Kab. Bandung,750+ terjual,4.8
125,Sajodo Snack & Food,BELI 3 SEBLAK FREE 1 KEJU AROMA,Rp90.000,Tasikmalaya,30+ terjual,4.6
126,CUANKI CULAMETAN,Baso Aci Instan Culametan khas Garut ( isi 6 ),Rp4.500,Kab. Garut,3rb+ terjual,4.8
127,CUANKI CULAMETAN,Baso Aci Instan Culametan khas Garut ( isi 6 ),Rp4.500,Kab. Garut,3rb+ terjual,4.8
128,CuankiCulametan,Cuanki Pangsit kering Segitiga Cipet isi 100 toping seblak baso aci,Rp32.500,Kab. Garut,70+ terjual,4.7
129,SuperSnacksShop,KRUPUK / KERUPUK MENTAH / KERUPUK SEBLAK MENTAH 200gr MAWAR WARNA,Rp5.750,Kab. Bandung,100+ terjual,4.9
130,Aisyah Ayesha,seblak kuah mamang rafael instant pedas sunda,Rp35.000,Jakarta Selatan,2 terjual,5.0
131,The Little Snacks,Gurilem Sangarrr,Rp13.000,Tangerang Selatan,1rb+ terjual,4.8
132,TOKO KUE MEISYA,KERUPUK KRUPUK SEBLAK PEDAS 250 GR,Rp18.000,Jakarta Pusat,250+ terjual,4.9
133,tukangsayurjkt,kerupuk bawang mentah/kerupuk seblak/kerupuk warna warni 1kg,Rp37.000,Jakarta Selatan,30+ terjual,5.0
134,Gerai Snack Official Shop,Basreng Pinggsnack,Rp16.700,Kab. Tangerang,500+ terjual,4.8
135,FARZHA SNACK STORE,CAMILAN SEBLAK PEDAS 250GR SNACK KILOAN JAJAN OLEH-OLEH CEMILAN KILOAN,Rp12.900,Semarang,80+ terjual,4.7
136,sembakocitra,Kerupuk Seblak/Ikan/Sari Udang/Merah - MENTAH,Rp25.000,Tangerang,28 terjual,5.0
137,baso aci masabi,"baso aci keju, boci, bakso aci, cuanki, seblak instan",Rp10.000,Jakarta Selatan,100+ terjual,5.0
138,FAG COLLECTION,Toping Baso Aci Topping Cuanki Lidah Cuankie Lidah Isi 150 pcs seblak,Rp35.000,Surabaya,7 terjual,5.0
139,Griyo Seni,SEBLAK INSTAN,Rp5.000,Kab. Sidoarjo,100+ terjual,4.5
140,Keripik Edun Bandung,Kerupuk Seblak Kering Putih Ngembang Khas Keripik Pojok Riki Mang Odod,Rp13.999,Kab. Bandung,30+ terjual,5.0
141,Pasar Keripik Bandung,Pasar Keripik Kerupuk Seblak Mawar Mini Pedas size Kecil,Rp12.500,Bandung,80+ terjual,4.9
142,Sajodo Snack & Food,SEBLAK INSTAN SAJODO SNACK,Rp22.500,Tasikmalaya,100+ terjual,4.8
143,Kylafood Jakarta,Kylafood Seblak Rempah Autentik,Rp14.000,Jakarta Selatan,250+ terjual,5.0
144,duniacemilan,[TERMURAH!!] Seblak Instant Basranger Extra Pedas 200gram,Rp14.500,Bandung,100+ terjual,4.9
145,Nyum_mama,baso aci / seblak instan,Rp6.000,Pekanbaru,40+ terjual,4.6
146,Sajodo Snack & Food,"[ Buy 5 Get 5 ] Special Bedug Package (Baso Aci, Seblak, Keju Aroma...",Rp150.000,Tasikmalaya,7 terjual,4.8
147,Rahmatika Freshmart,Seblak Instant Carla 100 gr,Rp13.000,Tangerang Selatan,23 terjual,5.0
148,Kenal Jaya Bandung,BOBOKO Kerupuk Seblak Kering,Rp13.999,Bandung,100+ terjual,5.0
149,Kylafood Jakarta,Seblak Rempah Autentik isi 5 pcs,Rp68.000,Jakarta Selatan,90+ terjual,4.9
150,MaFa Jaya,Siomay Kering Kerikil Khas Bandung cocok untuk Pembuatan Seblak,Rp128.000,Kab. Bandung,250+ terjual,4.9
151,Lidigeli,MASJAY Combo 3pcs Seblak Bandung Instant Bumbu Pedas Membara,Rp44.000,Kab. Garut,40+ terjual,4.8
152,Kickball Official,seblak basah instan komplit 200gr,Rp12.000,Bandung,60+ terjual,5.0
153,Pasar Online Kebayoran,Kerupuk Seblak Mentah - 250 Gram,Rp11.000,Jakarta Selatan,8 terjual,5.0
154,Gerai Snack Official Shop,Maicih Seblak Keju,Rp20.500,Kab. Tangerang,500+ terjual,4.7
155,Djuragan Kerupuk,Termurah Kerupuk Mentah-Kerupuk Seblak-Kerupuk Puli,Rp8.200,Surabaya,100+ terjual,5.0
156,BandungBarayaSnack,Kerupuk Seblak Beton Pedas 250g,Rp15.000,Bandung,2 terjual,5.0
157,Lidigeli,Geli Food Seblak Ceker Tanpa Tulang Super Pedas 180gr,Rp25.000,Kab. Garut,100+ terjual,4.9
158,Yuliana Frozen,Kerupuk SEBLAK Bawang Bibir Mini/timbangan 1 kg,Rp21.000,Kab. Sidoarjo,100+ terjual,4.8
159,Seblak Mang Muss,SEBLAK INSTAN MANG MUSS - LEVEL 10,Rp13.999,Tasikmalaya,750+ terjual,4.9
160,Kickball Official,Batagor kering untuk seblak 500gr,Rp38.000,Bandung,250+ terjual,4.8
161,Mulya_Snack,Kerupuk seblak ½kg / kerupuk seblak pedas 500 gram,Rp19.500,Kab.Ciamis,70+ terjual,4.7
162,CuankiCulametan,cuanki tahu pasung isi 50 murah batagor kering toping seblak baso aci,Rp12.500,Kab. Garut,250+ terjual,4.9
163,CEMILAN BERKAH 99,"Seblak Rafael, Seblak Kering Rafael, Kerupuk Mawar Kiloan",Rp24.900,Kab. Tasikmalaya,4 terjual,5.0
164,Celikafood,Kerupuk Putih 250 gr Krupuk Sumbersari Kurupuk Sumber Sari Seblak,Rp7.500,Bandung,90+ terjual,4.7
165,Foodstocks,Seblak Hot Spicy By Bapper Food / Seblak Instant Khas Bandung,Rp16.800,Jakarta Selatan,100+ terjual,5.0
166,nayismail,paket mix 12PCS boci cuanki seblak,Rp37.999,Cimahi,10 terjual,5.0
167,SuperSnacksShop,KRUPUK / KERUPUK MENTAH / KERUPUK SEBLAK MENTAH 1kg KEONG WARNA,Rp21.750,Kab. Bandung,100+ terjual,5.0
168,Cuanki_Bandung,"Kerupuk Gelung Mentah 200gr Bahan Seblak, Krupuk, Cemilan, Dll.",Rp5.000,Kab. Bandung,100+ terjual,4.9
169,JM Snacks,PAKET 1 BOCI EXTRA PEDAS + 1 TULANG RANGU + 1 SEBLAK BASRANGER INSTANT,Rp50.000,Bandung,40+ terjual,4.8
170,ngemildotcom,KERUPUK SEBLAK / SEBLAK GORENG / SEBLAK KERING RAFAEL / KRUPUK PEDAS,Rp17.000,Depok,30+ terjual,5.0
